rank,name,year,rating,genre,certificate,run_time,decade,runtime_bin
211,Rocky,1976,8.1,"Drama,Sport",PG,120,1970,"(90.0, 120.0]"
212,Platoon,1986,8.1,"Drama,War",R,120,1980,"(90.0, 120.0]"
213,Ratatouille,2007,8.1,"Animation,Adventure,Comedy",G,111,2000,"(90.0, 120.0]"
214,Spotlight,2015,8.1,"Biography,Crime,Drama",R,129,2010,"(120.0, 150.0]"
215,The Terminator,1984,8.1,"Action,Sci-Fi",R,107,1980,"(90.0, 120.0]"
216,Logan,2017,8.1,"Action,Drama,Sci-Fi",R,137,2010,"(120.0, 150.0]"
217,Stand by Me,1986,8.1,"Adventure,Drama",PG-13,89,1980,"(0.0, 90.0]"
218,Rush,2013,8.1,"Action,Biography,Drama",R,123,2010,"(120.0, 150.0]"
219,Network,1976,8.1,Drama,R,121,1970,"(120.0, 150.0]"
220,Into the Wild,2007,8.1,"Adventure,Biography,Drama",R,148,2000,"(120.0, 150.0]"
221,Before Sunset,2004,8.1,"Drama,Romance",R,80,2000,"(0.0, 90.0]"
222,The Wizard of Oz,1939,8.1,"Adventure,Family,Fantasy",G,102,1930,"(90.0, 120.0]"
223,Pather Panchali,1955,8.3,Drama,Not Rated,125,1950,"(120.0, 150.0]"
224,Groundhog Day,1993,8.1,"Comedy,Drama,Fantasy",PG,101,1990,"(90.0, 120.0]"
225,The Best Years of Our Lives,1946,8.1,"Drama,Romance,War",Not Rated,170,1940,"(150.0, 180.0]"
226,The Exorcist,1973,8.1,Horror,R,122,1970,"(120.0, 150.0]"
227,The Incredibles,2004,8.0,"Animation,Action,Adventure",PG,115,2000,"(90.0, 120.0]"
228,To Be or Not to Be,1942,8.2,"Comedy,Romance,War",Not Rated,99,1940,"(90.0, 120.0]"
229,La haine,1995,8.1,"Crime,Drama",Not Rated,98,1990,"(90.0, 120.0]"
230,The Battle of Algiers,1966,8.1,"Drama,War",Not Rated,121,1960,"(120.0, 150.0]"
231,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,"Action,Adventure,Fantasy",PG-13,143,2000,"(120.0, 150.0]"
232,Hachi: A Dog's Tale,2009,8.1,"Biography,Drama,Family",G,93,2000,"(90.0, 120.0]"
233,The Grapes of Wrath,1940,8.1,Drama,Not Rated,129,1940,"(120.0, 150.0]"
234,Jai Bhim,2021,8.8,"Crime,Drama,Mystery",R,164,2020,"(150.0, 180.0]"
235,My Father and My Son,2005,8.2,"Drama,Family",Not Rated,112,2000,"(90.0, 120.0]"
236,Amores Perros,2000,8.1,"Drama,Thriller",R,154,2000,"(150.0, 180.0]"
237,Rebecca,1940,8.1,"Drama,Film-Noir,Mystery",Not Rated,130,1940,"(120.0, 150.0]"
238,Cool Hand Luke,1967,8.1,"Crime,Drama",PG,127,1960,"(120.0, 150.0]"
239,The Handmaiden,2016,8.1,"Drama,Romance,Thriller",Not Rated,145,2010,"(120.0, 150.0]"
240,The 400 Blows,1959,8.1,"Crime,Drama",Not Rated,99,1950,"(90.0, 120.0]"
241,The Sound of Music,1965,8.1,"Biography,Drama,Family",G,172,1960,"(150.0, 180.0]"
242,It Happened One Night,1934,8.1,"Comedy,Romance",Not Rated,105,1930,"(90.0, 120.0]"
243,Persona,1966,8.1,"Drama,Thriller",Not Rated,83,1960,"(0.0, 90.0]"
244,Life of Brian,1979,8.0,Comedy,R,94,1970,"(90.0, 120.0]"
245,The Iron Giant,1999,8.1,"Animation,Action,Adventure",PG,86,1990,"(0.0, 90.0]"
246,The Help,2011,8.1,Drama,PG-13,146,2010,"(120.0, 150.0]"
247,Dersu Uzala,1975,8.2,"Adventure,Biography,Drama",G,142,1970,"(120.0, 150.0]"
248,Aladdin,1992,8.0,"Animation,Adventure,Comedy",G,90,1990,"(0.0, 90.0]"
249,Gandhi,1982,8.0,"Biography,Drama,History",PG,191,1980,"(180.0, inf]"
250,Dances with Wolves,1990,8.0,"Adventure,Drama,Western",PG-13,181,1990,"(180.0, inf]"
